Тип расхода;Магазин;Сумма;Периодичность;Начало;Окончание;Описание;Служебный ID
Аренда;Parfum plus 2;1500;Ежемесячно;2 августа 2026 г., 05:00;;;cmsbre1j20001ju04okon7yn2
Флаконы;Parfum plus 1;1;Разовый;2 августа 2026 г., 05:00;;sale:cmsbkmo8p003jla04x69po3gb · Nabot Kand;cmsbkmp92003pla04bjabnlks
Флаконы;Parfum plus 1;1;Разовый;2 августа 2026 г., 05:00;;sale:cmsbp5ng3000pl204jc9t2heo · Nabot Kand;cmsbp5obi000vl204pnx0vgoy
Флаконы;Parfum plus 2;1;Разовый;2 августа 2026 г., 05:00;;sale:cmsc6jhv00015jr04u5kbpnqo · Nabot Kand;cmsc6jinr001cjr047v08ulb8
Зарплата;Parfum plus 2;2000;Ежемесячно;2 августа 2026 г., 05:00;3 сентября 2026 г., 04:59;;cmsbrgr3r0001l504eyxdo11f
Флаконы;Parfum plus 1;1;Разовый;2 августа 2026 г., 05:00;;sale:cmsbu3puz000dl704iauso60m · Nabot Kand;cmsbu3qnm000jl704yjw8yqi3
Аренда;Parfum plus 1;1500;Ежемесячно;1 августа 2026 г., 05:00;2 сентября 2026 г., 04:59;АРЕНДА;cmsbk49ve000bky047bqdkute
