Дата и время;Магазин;Продавец;Статус;Сумма;Позиций в чеке;Служебный ID
3 августа 2026 г., 06:01;Личные продажи владельца;Nasuh r;Завершена;210;2;cmscix5890001ie04fi1jldy9
3 августа 2026 г., 00:14;Parfum plus 2;Алӣ2;Завершена;110;2;cmsc6jhv00015jr04u5kbpnqo
2 августа 2026 г., 19:08;Parfum plus 2;Алӣ2;Завершена;18;1;cmsbvl2we0019jo04fdtt6xzz
2 августа 2026 г., 18:56;Parfum plus 2;Алӣ2;Возвращена;400;1;cmsbv6hpf000fjy04e3zacq27
2 августа 2026 г., 18:26;Parfum plus 1;Алӣ;Завершена;6;1;cmsbu3puz000dl704iauso60m
2 августа 2026 г., 16:08;Parfum plus 1;Алӣ;Завершена;6;1;cmsbp5ng3000pl204jc9t2heo
2 августа 2026 г., 14:01;Parfum plus 1;Алӣ;Завершена;15;1;cmsbkmo8p003jla04x69po3gb
